profile_id,customer_id,income_level,loyalty_level,marital_status,age,occupation
1,1,Medium,Gold,Married,63,Historic buildings inspector/conservation officer
2,2,Medium,Platinum,Single,23,Land/geomatics surveyor
3,3,Medium,Gold,Married,31,Sport and exercise psychologist
4,4,Low,Bronze,Married,54,Private music teacher
5,5,Low,Bronze,Married,24,Dentist
6,6,High,Gold,Married,68,Water quality scientist
7,7,Medium,Bronze,Married,18,Further education lecturer
8,8,High,Bronze,Married,29,Chief Executive Officer
9,9,Medium,Bronze,Single,43,Records manager
10,10,Medium,Bronze,Single,42,"Engineer, drilling"
11,11,Medium,Gold,Married,31,"Horticulturist, amenity"
12,12,Medium,Silver,Married,23,"Teacher, English as a foreign language"
13,13,Low,Gold,Married,53,"Surveyor, insurance"
14,14,High,Gold,Single,56,Petroleum engineer
15,15,High,Silver,Single,34,Broadcast engineer
16,16,High,Platinum,Married,30,Industrial buyer
17,17,Medium,Platinum,Single,60,Exhibition designer
18,18,Medium,Bronze,Single,62,"Secretary, company"
19,19,Medium,Platinum,Single,68,Actuary
20,20,High,Gold,Married,31,Medical physicist
21,21,High,Platinum,Married,26,Event organiser
22,22,Low,Platinum,Single,35,Biomedical engineer
23,23,Low,Silver,Married,27,Occupational therapist
24,24,Medium,Bronze,Single,31,Hydrographic surveyor
25,25,Medium,Gold,Married,30,Professor Emeritus
26,26,Medium,Bronze,Married,45,Paediatric nurse
27,27,Medium,Gold,Single,29,Archaeologist
28,28,Low,Gold,Single,47,Barrister
29,29,Low,Bronze,Married,61,"Programmer, systems"
30,30,High,Bronze,Single,42,Dancer
31,31,High,Gold,Married,27,Leisure centre manager
32,32,High,Bronze,Single,22,"Psychologist, occupational"
33,33,Medium,Bronze,Married,45,"Civil engineer, contracting"
34,34,Low,Silver,Single,67,"Designer, interior/spatial"
35,35,Low,Gold,Single,43,Wellsite geologist
36,36,Medium,Gold,Married,53,Radiation protection practitioner
37,37,High,Platinum,Married,26,Research scientist (maths)
38,38,Low,Gold,Single,40,Music tutor
39,39,Low,Bronze,Married,70,Public affairs consultant
40,40,Medium,Bronze,Single,46,"Production assistant, television"
41,41,Low,Gold,Married,20,Physiological scientist
42,42,High,Bronze,Single,18,Environmental consultant
43,43,High,Gold,Single,42,Secondary school teacher
44,44,Low,Silver,Single,20,"Engineer, site"
45,45,Low,Platinum,Married,39,Video editor
46,46,Low,Bronze,Single,49,Public relations account executive
47,47,High,Bronze,Married,63,"Administrator, sports"
48,48,Medium,Bronze,Single,41,Patent examiner
49,49,High,Silver,Single,33,Air cabin crew
50,50,Low,Bronze,Married,61,Chief of Staff
51,51,Medium,Silver,Married,57,Mining engineer
52,52,Medium,Silver,Married,21,Community development worker
53,53,High,Bronze,Single,50,Operational investment banker
54,54,Medium,Silver,Single,19,Learning disability nurse
55,55,High,Platinum,Married,48,"Administrator, local government"
56,56,Medium,Platinum,Married,51,Soil scientist
57,57,Medium,Bronze,Married,40,"Engineer, land"
58,58,High,Bronze,Single,22,Petroleum engineer
59,59,Medium,Bronze,Single,22,Market researcher
60,60,Low,Silver,Single,52,Marketing executive
61,61,High,Silver,Single,44,Control and instrumentation engineer
62,62,Low,Gold,Married,25,Diplomatic Services operational officer
63,63,High,Silver,Single,56,Best boy
64,64,High,Platinum,Married,50,"Civil engineer, consulting"
65,65,Medium,Platinum,Single,69,Glass blower/designer
66,66,High,Bronze,Married,54,"Geneticist, molecular"
67,67,Medium,Platinum,Married,22,Land
68,68,Medium,Gold,Single,52,Special educational needs teacher
69,69,Low,Gold,Single,56,"Designer, jewellery"
70,70,High,Bronze,Single,57,Landscape architect
71,71,Low,Bronze,Single,44,Bonds trader
72,72,Low,Bronze,Single,21,Medical physicist
73,73,Low,Silver,Married,38,Visual merchandiser
74,74,Low,Bronze,Married,63,Tax adviser
75,75,High,Silver,Single,61,"Psychologist, clinical"
76,76,High,Platinum,Single,21,Paediatric nurse
77,77,Medium,Gold,Single,47,Translator
78,78,Medium,Platinum,Married,52,Office manager
79,79,Medium,Platinum,Single,56,"Nurse, mental health"
80,80,Low,Gold,Married,53,Counsellor
81,81,Medium,Silver,Married,46,Sports development officer
82,82,High,Platinum,Married,43,Physiotherapist
83,83,Low,Platinum,Single,64,Sub
84,84,High,Gold,Married,28,"Doctor, hospital"
85,85,Low,Silver,Married,21,Counsellor
86,86,High,Silver,Married,23,Hospital pharmacist
87,87,Low,Silver,Married,45,Furniture conservator/restorer
88,88,High,Bronze,Single,57,Statistician
89,89,Low,Gold,Single,19,Environmental manager
90,90,High,Gold,Married,22,Waste management officer
91,91,High,Gold,Single,67,Plant breeder/geneticist
92,92,High,Gold,Single,56,Forensic scientist
93,93,High,Gold,Single,24,Probation officer
94,94,Low,Silver,Single,66,Professor Emeritus
95,95,Medium,Bronze,Single,19,Estate manager/land agent
96,96,High,Bronze,Single,39,"Scientist, research (maths)"
97,97,High,Bronze,Married,61,Surgeon
98,98,Medium,Bronze,Married,54,Volunteer coordinator
99,99,Medium,Platinum,Single,18,Educational psychologist
100,100,Medium,Bronze,Married,39,"Engineer, communications"
101,101,Medium,Platinum,Married,32,Consulting civil engineer
102,102,Medium,Silver,Single,26,Quarry manager
103,103,High,Platinum,Single,63,"Scientist, research (physical sciences)"
104,104,High,Silver,Married,42,Gaffer
105,105,Low,Platinum,Single,68,Data scientist
106,106,Low,Bronze,Single,56,"Scientist, physiological"
107,107,High,Silver,Single,51,Land
108,108,Medium,Platinum,Married,35,Actuary
109,109,Medium,Platinum,Single,47,Corporate treasurer
110,110,High,Platinum,Married,52,Geoscientist
111,111,Medium,Silver,Married,70,Pension scheme manager
112,112,Medium,Silver,Married,49,"Biochemist, clinical"
113,113,Medium,Silver,Single,45,"Engineer, land"
114,114,Low,Gold,Married,27,Clothing/textile technologist
115,115,High,Platinum,Married,31,Chief Executive Officer
116,116,Low,Silver,Single,29,"Editor, commissioning"
117,117,Medium,Silver,Single,37,Art gallery manager
118,118,High,Bronze,Single,41,Diagnostic radiographer
119,119,Medium,Platinum,Married,38,Retail banker
120,120,Low,Bronze,Married,52,Public librarian
121,121,Low,Gold,Married,56,Sports therapist
122,122,High,Gold,Single,36,"Therapist, speech and language"
123,123,Medium,Platinum,Married,36,"Teacher, special educational needs"
