product_id,product_name,category,brand,price,cost_price,launch_date
1,T-Shirt,Fashion,Sony,1968.79,1124.98,2024-08-28
2,Dining Table,Home,Samsung,895.82,490.67,2024-11-14
3,T-Shirt,Fashion,Loreal,1530.48,1053.97,2023-07-28
4,Snacks,Grocery,Nike,1969.88,1169.51,2024-07-28
5,Lipstick,Beauty,Nestle,1742.09,1109.86,2025-03-08
6,Curtains,Home,Lenovo,889.31,679.02,2024-12-15
7,Rice,Grocery,Adidas,1975.69,1213.12,2025-05-03
8,Lipstick,Beauty,Loreal,1355.73,938.3,2026-04-19
9,Milk,Grocery,Nike,1174.74,875.93,2025-05-12
10,Sofa,Home,Nestle,1585.04,1128.59,2024-03-07
11,Curtains,Home,Loreal,32.31,18.34,2025-05-18
12,Shampoo,Beauty,Adidas,917.04,601.8,2025-09-24
13,T-Shirt,Fashion,Apple,484.7,356.26,2025-08-25
14,Face Wash,Beauty,Nike,123.7,80.3,2025-07-31
15,Milk,Grocery,Adidas,631.91,327.62,2025-08-12
16,T-Shirt,Fashion,Sony,89.69,46.03,2023-12-20
17,Coffee,Grocery,LG,622.93,376.08,2025-10-05
18,Shampoo,Beauty,Nike,808.58,467.91,2024-01-20
19,Smart Watch,Electronics,Adidas,632.74,449.22,2024-12-13
20,Jacket,Fashion,Loreal,1533.13,952.53,2024-03-03
21,Smart Watch,Electronics,Dell,422.0,228.61,2024-01-29
22,Coffee,Grocery,Apple,953.07,573.9,2026-02-15
23,Smart Watch,Electronics,Dell,1192.66,768.48,2026-05-12
24,Tablet,Electronics,Loreal,195.36,142.74,2024-01-22
25,Laptop,Electronics,LG,525.16,308.84,2024-06-13
26,Jacket,Fashion,Samsung,462.21,253.6,2024-07-16
27,Chair,Home,Lenovo,885.02,683.06,2025-08-23
28,Curtains,Home,Adidas,739.01,405.84,2024-10-31
29,Bread,Grocery,LG,992.22,670.05,2025-01-23
30,Jacket,Fashion,Apple,850.05,455.17,2025-02-09
31,Rice,Grocery,Apple,294.05,163.14,2023-11-07
32,Jacket,Fashion,Puma,801.36,453.66,2024-05-20
33,Jeans,Fashion,Samsung,1890.48,995.02,2025-10-22
34,Snacks,Grocery,Samsung,716.76,450.42,2025-01-06
35,Lamp,Home,Nestle,1189.7,886.96,2026-01-03
36,Milk,Grocery,Puma,450.05,335.91,2025-02-28
37,Bread,Grocery,Nestle,1046.38,662.05,2025-08-26
38,Hoodie,Fashion,Puma,1082.03,579.87,2024-06-20
39,Body Lotion,Beauty,Dell,824.74,428.3,2026-03-30
40,Dining Table,Home,Adidas,555.51,364.67,2026-02-19
41,Face Wash,Beauty,Puma,1837.93,1230.35,2023-05-26
42,Jeans,Fashion,LG,1976.94,1156.4,2026-03-24
43,Headphones,Electronics,Nestle,1567.18,1209.83,2024-01-04
44,Sofa,Home,Apple,1117.71,583.52,2024-12-03
45,Shoes,Fashion,Nike,1925.37,1303.73,2026-03-15
46,Sofa,Home,Apple,215.7,168.41,2025-09-21
47,Face Wash,Beauty,Nike,1622.02,823.18,2026-04-19
48,Tablet,Electronics,Apple,1151.72,779.07,2025-04-16
49,Curtains,Home,LG,203.78,132.49,2024-10-27
50,Tablet,Electronics,Loreal,151.71,92.12,2023-07-30
51,Jacket,Fashion,LG,473.52,321.91,2025-06-25
52,Rice,Grocery,Apple,1815.2,1418.02,2024-01-23
53,Shampoo,Beauty,Lenovo,1687.32,891.68,2024-06-19
54,Snacks,Grocery,Loreal,1548.9,928.46,2025-11-21
55,Face Wash,Beauty,Nike,809.42,620.62,2024-11-21
56,Face Wash,Beauty,Lenovo,1881.6,1412.46,2025-01-29
57,Mobile,Electronics,Lenovo,1986.82,1167.68,2024-04-10
58,Milk,Grocery,Adidas,670.75,417.23,2024-08-21
59,Laptop,Electronics,Adidas,1394.32,1073.83,2024-12-18
60,Headphones,Electronics,Lenovo,76.41,39.49,2025-07-19
61,Sofa,Home,Sony,1096.66,748.11,2023-09-11
62,Shoes,Fashion,Adidas,34.23,17.35,2025-04-17
63,Sofa,Home,Loreal,1845.39,1202.66,2026-03-16
64,Shoes,Fashion,Samsung,881.44,500.57,2023-12-13
65,Face Wash,Beauty,Lenovo,1229.85,972.19,2026-01-27
66,Bread,Grocery,LG,956.17,533.52,2026-02-12
67,Perfume,Beauty,Dell,32.94,21.84,2025-09-22
68,Hoodie,Fashion,Dell,877.58,584.86,2023-12-23
69,Perfume,Beauty,Apple,814.31,591.12,2025-01-31
70,Shoes,Fashion,Sony,688.28,506.01,2023-08-14
71,Shampoo,Beauty,Samsung,466.78,258.51,2024-02-20
72,Sofa,Home,Adidas,783.19,528.53,2024-07-10
73,Hoodie,Fashion,Sony,1418.29,1069.63,2024-09-16
74,Rice,Grocery,Nestle,1291.8,765.9,2024-01-08
75,Mobile,Electronics,Dell,1322.4,742.44,2023-07-20
76,Chair,Home,Lenovo,576.23,379.02,2024-04-14
77,Bread,Grocery,Nestle,1315.7,690.58,2024-05-01
78,Face Wash,Beauty,Adidas,342.41,229.07,2024-06-20
79,Jeans,Fashion,Puma,1907.67,1273.88,2025-08-31
80,Jacket,Fashion,Samsung,1219.39,849.81,2026-01-08
81,Chair,Home,Samsung,1276.46,825.44,2025-05-05
82,Lamp,Home,Loreal,167.33,126.69,2025-04-03
83,Mobile,Electronics,LG,497.06,259.94,2024-10-03
84,Jacket,Fashion,Loreal,1673.25,1093.08,2023-12-29
85,Curtains,Home,Apple,475.32,274.92,2023-08-20
86,Lamp,Home,Puma,1588.54,1256.95,2024-09-05
87,Perfume,Beauty,Dell,710.48,445.83,2026-01-28
88,Rice,Grocery,Adidas,1705.34,1340.99,2024-10-01
89,Body Lotion,Beauty,Apple,64.19,51.34,2024-02-18
90,Smart Watch,Electronics,Samsung,1987.37,1410.73,2023-07-04
91,Dining Table,Home,Sony,922.95,470.51,2024-04-08
92,Body Lotion,Beauty,Nike,1986.61,1408.49,2024-03-28
93,Hoodie,Fashion,Apple,1732.89,906.57,2025-06-19
94,Smart Watch,Electronics,Lenovo,1978.65,1508.06,2023-07-10
95,Sofa,Home,Nike,1422.15,874.8,2025-01-12
96,Smart Watch,Electronics,Samsung,264.01,140.99,2024-12-23
97,Shoes,Fashion,Samsung,543.22,406.42,2025-04-07
98,Snacks,Grocery,Dell,794.27,562.8,2024-04-01
99,Chair,Home,LG,1514.78,1176.81,2024-07-11
100,Shoes,Fashion,Loreal,1619.23,1212.88,2026-02-09
101,Face Wash,Beauty,Sony,405.8,272.71,2026-02-17
102,T-Shirt,Fashion,Adidas,1848.69,1354.27,2026-01-25
103,Mobile,Electronics,Sony,1218.82,752.36,2026-03-27
104,Headphones,Electronics,Nike,364.14,256.74,2023-09-06
105,Hoodie,Fashion,Adidas,1879.95,950.92,2024-05-30
106,Curtains,Home,Dell,566.17,350.17,2025-07-18
107,Smart Watch,Electronics,Sony,1211.96,795.5,2024-05-22
108,Jacket,Fashion,Nike,1539.28,1225.59,2025-11-30
109,T-Shirt,Fashion,Nestle,838.92,523.6,2024-04-26
110,Dining Table,Home,LG,816.02,523.8,2024-11-24
111,Curtains,Home,Apple,1329.75,1054.7,2025-03-16
112,Milk,Grocery,Dell,21.41,11.01,2026-01-27
113,Mobile,Electronics,Puma,1029.91,763.27,2026-03-05
114,Perfume,Beauty,Apple,1655.19,893.36,2023-11-11
115,Mobile,Electronics,Sony,1747.45,1150.0,2025-08-06
116,Hoodie,Fashion,Nike,1236.94,723.5,2024-03-03
117,Body Lotion,Beauty,Apple,1476.26,824.29,2025-05-25
118,Coffee,Grocery,Nestle,318.18,226.12,2025-08-01
119,Body Lotion,Beauty,Sony,453.49,297.05,2025-12-23
